usahawanid,namasyarikat,nodaftarssm,tahunmulaoperasi,bilanganpekerja,alamat1_ssm,alamat2_ssm,alamat3_ssm
J00028,MS KAK CHIK ENTERPRISE,JR0044182-V,,,"KB 6B LORONG KAMPUNG SAWAH RING, GERSIK","TANGKAK, ","TANGKAK, JOHOR"
J00029,MADEK ENTERPRISE,JM0927374-H,2015,2,"PTD 2064,JSL 18/11, KM45, KG SRI LUKUT","KAHANG, 86700","KLUANG, JOHOR"
J00030,PENERANG HATI ENTERPRISE,001753730-K,2013,5,"NO 72 JLN NIYOR 5 , KG MELAYU NIYOR","KLUANG , 86000","KLUANG, JOHOR"
J00031,AZURAH BINTI TUMIN,JR0054950-X,,,LOT 5532 JLN MAWAR KG BAHAGIA BT28 LENGA,"MUAR, ","MUAR, JOHOR"
J00032,,,2015,1,"NO 51, KAMPUNG BATU ENAM","SIMPANG RENGGAM, 86200","KLUANG, JOHOR"
J00033,KRUSS SUCCESS ENTERPRISE,1116167W,2017,3,121 A LORONG ARNAB,"KLUANG, 86000","KLUANG, JOHOR"
J00034,DRIVE IN CAR WASH,,2014,2,"NO 30 JALAN 32, TAMAN KOTA PALOH,","PALOH, 86600","KLUANG, JOHOR"
J00035,PERNIAGAAN DAYA ILHAM,JM0297617-X,2017,2,"NO.20 JALAN BAHAGIA 3, TAMAN BAHAGIA,","KLUANG, 86100","KLUANG, JOHOR"
J00036,NORIKOSECRET,JR0057384-V,,,"NO 56, JLN PERDANGAN 9, PUSAT PERDANGANGAN BUKIT GAMBIR","TANGKAK, ","TANGKAK, JOHOR"
J00037,,,2015,1,"NO. 36, KAMPUNG JABI 85000 SEGAMAT, JOHOR","SEGAMAT, 85000","SEGAMAT, JOHOR"
J00038,MOHD FAIRUS ENTERPRISE,JR0100182-K,,,NO 45 KG SEMERIUT PAGOH 84600 MUAR,"PAGOH, ","MUAR, JOHOR"
J00039,WARUNG MAK EBENG,JR0091878-M,,,NO 64 KG TUI BUKIT KEPONG 84030 MUAR,"BUKIT KEPONG, ","MUAR, JOHOR"
J00040,,,2011,1,"93-A JLN. NO.2, KG. MELAYU RAYA, POGOH, SEGAMAT","SEGAMAT, 85000","SEGAMAT, JOHOR"
J00041,,,2013,1,"NO 269,JALAN MELATI, KG MELAYU,","SIMPANG RENGGAM, 86200","KLUANG, JOHOR"
J00042,AZFA SEJATI ENTERPRISE,JM0672353-M,2015,3,"NO 12 JALAN REKAMAS 3/4 ,TAMAN REKAMAS 3","JOHOR, 86200","KLUANG, JOHOR"
J00043,FUZIAH GEMILANG ENTERPRISE,JR0074896-D,2015,2,"LOT 381, KG. GELANG CHINCHIN, 85000 SEGAMAT, JOHOR","SEGAMAT, 85000","SEGAMAT, JOHOR"
J00044,,,,,,,
J00045,HAIRIL BIN ISMAIL,JR0106439-A,2015,2,"NO. 44, KAMPUNG SEPINANG, 85000 BULOH KASAP, SEGAMAT, JOHOR.","SEGAMAT, 85000","SEGAMAT, JOHOR"
J00046,,,,,,,
J00047,SAKILA EIGHT ENTERPRISE,MA0210016-P,2016,2,"NO. 24, JALAN NO. 3, KAMPUNG MELAYU RAYA 85000 SEGAMAT, JOHOR.","SEGAMAT, 85000","SEGAMAT, JOHOR"
J00048,,,2017,2,"NO 36, JALAN UTAMA, KG. BKT. KLEDANG, 85200 JEMENTAH, SEGAMAT","JEMENTAH, 85200","SEGAMAT, JOHOR"
J00049,ELLY ELDAN ENTERPRISE,JM0705957-U,2014,2,LOT 8692 JLN LADANG TUN D. ISAMAL KG. SAHARI  BLOK 3,"SPG RENGAM , 86200","KLUANG, JOHOR"
J00050,KEDAI MOTORSIKAL HAM,JM0205251-V,1999,5,"NO 6 JLN BALAI RAYA, KG PALEMBANG LAMA,","KLUANG, 86000","KLUANG, JOHOR"
J00051,DIDANHADA RESOURCES,JM0922740-P,2017,3,"KAMPUNG BUKIT KENANGAN,BATU 41,SIMPANG RENGGAM","SIMPANG RENGGAM, 86200","KLUANG, JOHOR"
J00052,,,2013,2,NO. 17 JLN ABD. RAHIM KG. TENANG LABIS,"LABIS, 85300","SEGAMAT, JOHOR"
J00053,SHIMAS MAJU ENTERPRISE,JR0008386-T,,,"NO 5,KAMPUNG SEROM, SUNGAI MATI","TANGKAK, ","MUAR, JOHOR"
J00054,HASLINA BINTI AHAMAD,001856878-P,2016,3,"NO 8 JALAN NAKHODA, RUMAH RAKYAT, 86500 BEKOK, JOHOR","LABIS, 86500","SEGAMAT, JOHOR"
J00055,ZACK FM ENTERPRISE,JM7352488-H,2014,2,"NO. 508 JALAN SERI IMPIAN 7/18, BANDAR SERI IMPIAN,","KLUANG, 86000","KLUANG, JOHOR"
J00056,MIRACON MULTI ENTERPRISE,JR0001835-D,2013,3,"NO. 14, KG. SEPINANG, BULOH KASAP, 85000 SEGAMAT, JOHOR","SEGAMAT, 85000","SEGAMAT, JOHOR"
J00057,MAHLIGAI KASIH RESOURCES,JR0059904-H,,,NO 41JLN LABIS KPG KECIK BUKIT KEPONG,"MUAR, 84000","MUAR, JOHOR"
J00058,,,,,,,
J00059,,,2016,1,"LOT 4123, KAMPUNG BUKIT KLEDANG 85200 JEMENTAH, JOHOR","JEMENTAH, 85000","SEGAMAT, JOHOR"
J00060,IBS TRADING AND SERVICES,PG0498609-H,,,"LOT 9819, KG ANJUNG BATU, TANGKAK","TANGKAK, ","MUAR, JOHOR"
J00061,MISSAH MINI ENTERPRISE,JR0032193-V,,,"21 KG PARIT SIALANG, TELOK RIMBA, TANGKAK","TANGKAK, ","MUAR, JOHOR"
J00062,IRMANNORAINI FOOD RESOURCES,JR0108416-D,2014,2,"NO. 64, JALAN SIDEK, KAMPUNG JAWA, 85400 LABIS, JOHOR","LABIS, 85400","SEGAMAT, JOHOR"
J00063,ZAIS KRAF,MA0097490-A,2009,5,"NO 40, KAMPUNG TONJOS SIMPANG JABI, 85000 SEGAMAT, JOHOR","SEGAMAT, 85000","SEGAMAT, JOHOR"
J00064,,,,,,,
J00065,WARUNG SAMBAL IDJO,JM0925753-M,2016,4,"NO 22, KG PARIT JAMAL,","PONTIAN, 82200","KLUANG, JOHOR"
J00066,JAPRO ENTERPRISE,2.01E+11,,,69A PT HJ ANUAR 2 BT17 AIR HITAM 84060 MUAR,"MUAR, 84060","MUAR, JOHOR"
J00067,JAINI WAK J ENTERPRISE,JR0088400-P,2017,2,"NO 4, KAMPUNG PAYA LEBAR, BATU ANAM, 851000 SEGAMAT","JEMENTAH, 85100","SEGAMAT, JOHOR"
J00068,JAI MAJU JAYA ENTERPRISE,JM0817699-X,2017,4,KG ORG ASLI SEDOHOK JLN MERSING KAHANG ,"KAHANG, 86700","KLUANG, JOHOR"
J00069,JANORA FOODS ENTERPRISE,JR0089208-M,2015,2,"NO.4, RUMAH KAKITANGAN LADANG MUAR RIVER, BULOH KASAP, 85010 SEGAMAT, JOHOR","SEGAMAT, 85010","SEGAMAT, JOHOR"
J00070,ARUL MAJU AUTO SERVICE,NS0103577-M,2013,2,NO. 28 KG. SUNGAI SIPUT JEMENTAH,"JEMENTAH, 85200","SEGAMAT, JOHOR"
J00071,,,2014,2,RUMAH MESRA RAKYAT KG. TEKAM POGOH 3,"SEGAMAT, 85000","SEGAMAT, JOHOR"
J00072,MSSJ JAYA ENTERPRISE,MA0206796-W,2011,5,"NO 51 , KAMPUNG PAYA LANG, BATU ANAM, 85000 SEGAMAT, JOHOR","SEGAMAT, 85000","SEGAMAT, JOHOR"
J00073,JEMAH BINTI SAHID,JR0034208,2013,2,18A.KAMPUNG MELAYU BATU 4PALOH,"KLUANG, 86600","KLUANG, JOHOR"
J00074,,,2014,2,NO. 124 JLN MASJID KG. TENANG LABIS,"LABIS, 85300","SEGAMAT, JOHOR"
J00075,SINAR SQ JJ ENTERPRISE,JR0032832-M,,,GERAI NO 2 KOMPLEKS PENGHULU JALAN SEGAMAT,"TANGKAK, ","MUAR, JOHOR"
J00076,K MYRA ENTERPRISE,JM0611736-W,2013,1,"BATU 6,JALAN YONG PENG,PALOH","PALOH, 86600","KLUANG, JOHOR"
J00077,JUNAINI BINTI SENIN,JR0098727-V,2016,2,"NO. 17, JALAN DURIAN 4, TAMAN SURIA, BULOH KASAP, 85010 SEGAMAT, JOHOR","SEGAMAT, 85010","SEGAMAT, JOHOR"
J00078,ESKARVA ENTERPRISE,JM0874694-X,2013,1,"NO. 173  JALAN REDA, KAMPUNG SRI LUKUT  KM 45 JALAN MERSING","KAHANG, 86700","KLUANG, JOHOR"
J00079,NORLIN FROZEN FOOD,JR0044084-V,,,"TRC 40 KG PARIT SIALANG, TELOK RIMBA, SG MATI","TANGKAK, ","MUAR, JOHOR"
J00080,,,2015,2,"NO 51, JALAN BENDAHARA, KG MELAYU,","KLUANG, 86600","KLUANG, JOHOR"
J00081,KAMARIAH BINTI YUSOF,JM0843837-U,2015,2,"NO 255, JALAN SETIA, FELDA AYER HITAM,","KLUANG, 86000","KLUANG, JOHOR"
J00082,,,2015,1,NO 5A JLN SEKOLAH BT6 SRI LALANG KLUANG JOHOR,"KLUANG, 86000","KLUANG, JOHOR"
J00083,MT BLADE ENTERPRISE,JR0088700-K,2015,2,"NO. 77, JALAN PEGAWAI, KAMPUNG TENANG, 85300 SEGAMAT, JOHOR","LABIS, 85300","SEGAMAT, JOHOR"
J00084,,,2006,3,"GERAI NO. 3, PASAR AWAM LABIS, 85300 SEGAMAT, JOHOR","LABIS, 85300","SEGAMAT, JOHOR"
J00085,KAMSIATI HUSIN,JR0013158-D,,,TL PRPG 33 JLN PAGOH BESAR PAGOH,"TANGKAK, ","MUAR, JOHOR"
J00086,,,2017,0,1333 JLN RAMBUTAN FELDA KAHANG BARAT,"KLUANG, 86000","KLUANG, JOHOR"
J00087,WARISAN KITTY ENTERPRISE,JM0935161-V,2014,1,"212 FELCRA BATU 3 1/2 , PALOH","KLUANG, 86600","KLUANG, JOHOR"
J00088,KLIVON & SONS,001848850-H,2018,3,"220 JALAN KENANGA, KG MELAYU BT 4 PALOH,","PALOH, 86600","KLUANG, JOHOR"
J00089,,,,,,,
J00090,KAMROFARM ENTERPRISE,002233640-W,2017,2,"99, KG TENGAH RENGGAM,","KLUANG, 86300","KLUANG, JOHOR"
J00091,TASKA COMEL CEMERLANG,MA0105369-K,,,"JLN 5 LORONG MANGGA, SG BALANG, MUAR","MUAR, ","MUAR, JOHOR"
J00092,AZ TRIPPLE A ENTERPRISE,TR0086720-U,2010,5,NO 16 JALAN BAYU 12 TAMAN SRI BAYU,"SIMPANG RENGGAM, 86200","KLUANG, JOHOR"
J00093,KAY P AUTO CARE,JR0037544-P,2012,2,"NO. 88 BLOCK C, JLN TERUS KG. KUALA PAYA SEGAMAT","SEGAMAT, 85000","SEGAMAT, JOHOR"
J00094,AWAN CREATION ENTERPRISE,,,,NO 1 TGKT 2 JALAN RIA TAMAN PAGOH RIA,"MUAR, ","MUAR, JOHOR"
J00095,UTAMA BERKAT ENTERPRISE,JR0100808-T,2016,2,NO88 JLN UTAMA KG MELAYU BT 4 PALOH,"PALOH, 86600","KLUANG, JOHOR"
J00096,,,2017,2,"NO 4, JALAN MAJU, TAMAN JEMENTAH BARU","JEMENTAH, 85200","SEGAMAT, JOHOR"
J00097,CIK LYN DARLING TRADING,JM0858991-P,2016,5,"NO 32 JLN SERI IMPIAN 4/2, BANDAR SERI IMPIAN,","KLUANG, 86000","KLUANG, JOHOR"
J00098,PAKSI KIFAYAH ENTERPRISE,JR0034495-A,,,LOT 6075 JALAN MAIDEN KG SEMASEH 84500 MUAR,"MUAR, ","MUAR, JOHOR"
J00099,KOLEKSI MUSLIMAH ENTERPRISE,JM0583727- W,2014,1,"NO 5 JALAN SERI MAKMUR, TAMAN MAKMUR,","KLUANG, 86000","KLUANG, JOHOR"
J00100,MAZLAH TAYLOR,E2018041102389,,,BMU 21 BUKIT MOR 84150 PARIT JAWA,"MUAR, ","MUAR, JOHOR"
J00101,AKMALINA AFIF ENTERPRISE,JR0033569-D,,,794A KM32 BATU 20 AIR HITAM,"MUAR, ","MUAR, JOHOR"
J00102,USAHA JAYA MAZNI ENTERPRISE,JR0058916-T,,,KG SEROM 5 HILIR,"TANGKAK, ","TANGKAK, JOHOR"
J00103,SYUMUL NIAGA ENTERPRISE,002949991-U,2014,3,"NO 4, RUMAH KAKITANGAN, TANAH WAKAF, KAMPUNG BERATA, 85000 SEGAMAT, JOHOR","SEGAMAT, 85000","SEGAMAT, JOHOR"
J00104,APAMBALIK MUAR ( DORAYAKI ),JR0096824-H,,,PS 105 KG LIANG BATU LENGA,"MUAR, ","MUAR, JOHOR"
J00105,MD AIZAN BIN MD SELAMAT,JM0562051-T,2017,2,"30 JLN SIKUNDANGAN, TAMAN ABDUL RAHMAN ANDAK","SIMPANG RENGGAM, 86200","KLUANG, JOHOR"
J00106,FARIZ MOTOR AUTO SERVICE,JM0691479-A,2017,2,NO 8 KAMPUNG BARU,"RENGAM, 86300","KLUANG, JOHOR"
J00107,UDE ENGINEERING ENTERPRISE,JM0633899-V,2016,4,"NO 6 C,KG SAHARI BLOK 3, 86200 SIMPANG RENGGAM","SIMPANG RENGGAM, 86200","KLUANG, JOHOR"
J00108,ASHARA ENTERPRISE,JM0683071-U,2014,1,NO 124 JALAN MASJID KAMPUNG MELAYU,"KLUANG, 86600","KLUANG, JOHOR"
J00109,ILHAMCARAIRCONDITIONER & ELECTRICAL SERVICES,MA0095523-W,,,NO 8 JALAN JAYA 1/1 TAMAN BUKIT 84600 PAGOH,"MUAR, ","MUAR, JOHOR"
J00110,,,,,,,
J00111,HAFIZ H ENTERPRISE,JM0674369-V,2016,3,"NO 109  FELCRA BATU 3 1/2, PALOH","KLUANG, 86600","KLUANG, JOHOR"
J00112,ARS UNIK ENTERPRISE,MA0072713,,,LOT 2261 BELAKANG SEKOLAH AGAMA BT6 JALAN BAKRI,"MUAR, ","MUAR, JOHOR"
J00113,PARID ENTERPRISE,MA0082301-H,2012,2,"NO 31, KAMPUNG AWAT, 85100 BATU ANAM, JOHOR","SEGAMAT, 85100","SEGAMAT, JOHOR"
J00114,MOHAMAD SAHLAN TRADING,JM0821553-P,2017,3,NO 110 KAMPUNG MELAYU BATU 3 ½,"JOHOR, 86600","KLUANG, JOHOR"
J00115,HARON BIN ABD SAMAD,JR0090341-A,2013,2,"LOT 12545, KAMPUNG SAWAH BARU 9, 853000 LABIS, JOHOR","LABIS, 85300","SEGAMAT, JOHOR"
J00116,PERNIAGAAN PUTERA MAJU,JM0297617-X,2017,1,NO 39 JALAN TITIWANGSA 1/8 TMN TITIWANGSA,"KLUANG, 86000","KLUANG, JOHOR"
J00117,MAK ELI ENTERPRISE,003071937-M,2010,2,"GERAI NO 1, MDL, PEKAN AIR PANAS, 85300 LABIS, JOHOR","LABIS, 85300","SEGAMAT, JOHOR"
J00118,,,,,,,
J00119,,,2015,0,"28 JALAN REKAMAS 3/14, TAMAN REKAMAS 3,","SIMPANG RENGGAM, 86200","KLUANG, JOHOR"
J00120,M AMIN AIRCOND,MA0048062-D,,,"KM 21, KAMPUNG PT ZING","TANGKAK, ","TANGKAK, JOHOR"
J00121,AZLAN AH ENTERPRISE,JR0053586-X,,,NO 13 KG PARIT WAHID 84200 MUAR,"MUAR, 84200","MUAR, JOHOR"
J00122,FEREDO AUTO MOTORSPORT,JM0732726-A,2016,2,NO 4B LORONG 6 KAMPUNG BARU,"KLUANG, 86000","KLUANG, JOHOR"
J00123,MOHD FAREZ BIN MOHD ISA,,2010,2,"NO.105, LGR KADUT 5, JLN BULOH KASAP","SEGAMAT, 85000","SEGAMAT, JOHOR"
J00124,NASI ENGKONG WAK SRI,JR0108488-W,2009,4,"NO 30 JALAN UTAMA, KG USAHA JAYA, 85300 LABIS, JOHOR","LABIS, 85300","SEGAMAT, JOHOR"
J00125,FN MAJU ENTERPRISE,JM0600904-V,,,NO 1 JALAN MAWAR KAWASAN PERNIAGAAN FELCRA BUKIT KEPONG LENGA,"MUAR, ","MUAR, JOHOR"
J00126,ZAITON SAMSUDDIN,JR0074205-A,2015,1,"NO. 325 HLN. MELATI1, FELDA REDONG SEGAMAT","SEGAMAT, 85000","SEGAMAT, JOHOR"
J00127,RHAZES AGRO,2.02E+11,,,172 KM 3.2 PARIT KORMAJLN TEMENGGUNG AHMAD 84000 MUAR,"MUAR, 84000","MUAR, JOHOR"
J00128,D IMPIANA AUTO SERVICE,JM0606995-A,2014,1,"NO.390 JALAN SERI IMPIAN 1/9, BANDAR SERI IMPIAN,","KLUANG, 86000","KLUANG, JOHOR"
J00129,HAIIRI LINCAH WORKSHOP,002324929-D,2017,5,"NO 33, JALAN HARMONI 3, TAMAN SERI MEWAH,","KLUANG, 86200","KLUANG, JOHOR"
J00130,,,2013,2,"LOT 19, TINGKAT ATAS, JLN. EMAS 6, TMN. BUKIT BARU, BUKIT SIPUT, 85020 SEGAMAT, JOHOR.","SEGAMAT, 85020","SEGAMAT, JOHOR"
J00131,SSB FOOD INDUSTRIES,,,,"LOT 2025-1, KG PARIT SAWAH, KUNDANG ULU","TANGKAK, ","TANGKAK, JOHOR"
J00132,H & H BARBER SHOP,002752828-H,2017,2,"NO 22,JALAN ABDULLAH, BULOH KASAP, 85010 SEGAMAT, JOHOR","SEGAMAT, 85010","SEGAMAT, JOHOR"
J00133,NSB EXCELLENT ENTERPRISE,20180302056-6,,,KG SERI JAYA TANGKAK,"TANGKAK, ","TANGKAK, JOHOR"
J00134,ELMYJUNI ENTERPRISE,MA0134678-V,,,POS 106 KG PT NIPAH PT JAWA,"MUAR, ","MUAR, JOHOR"
J00135,INSAN SANI ENTERPRISE,JR0074191,2012,3,"NO. 29, JALAN INDAH, TAMAN INDAH, BUKIT SIPUT, 85020 SEGAMAT, JOHOR.","SEGAMAT, 85020","SEGAMAT, JOHOR"
J00136,,,,,,,
J00137,TWO WHEELS TYRE ENTERPRISE,SA0495011-D,2014,2,"NO. 24, JALAN GENUANG, TAMAN TAN LENG ANN, 85000 SEGAMAT, JOHOR","SEGAMAT, 85000","SEGAMAT, JOHOR"
J00138,SZBRENTPRISE,002886747-V,2013,2,NO5. LOT 5542 JALAN PISANG NANGKA,"KLUANG, 86000","KLUANG, JOHOR"
J00139,,,2017,0,"KG HAJI HAMZAH, SRI LALANG","KLUANG , 86000","KLUANG, JOHOR"
J00140,RUSA NURI ENTERPRISE,JM0584630-P,2013,0,36A KAMPUNG MELAYU BT4 PALOH,"PALOH, 86600","KLUANG, JOHOR"
J00141,,,2015,1,"BATU 49, KG PISANG","KLUANG, 86200","KLUANG, JOHOR"
J00142,ALI AND SON ENTERPRISE,JR0102150-A,2016,1,"LOT 35, JALAN MATA KUCING, KAMPUNG TENANG, 85300 SEGAMAT, JOHOR","LABIS, 85300","SEGAMAT, JOHOR"
J00143,BISTRO KAK SITI,JM0109101W,2015,1,"NO. 6, JLN SRI MEWAH 2, TAMAN SRI MEWAH,","SPG. RENGGAM, 86200","KLUANG, JOHOR"
J00144,KELUWUNG AH ENTERPRISE,201903145557(JR0103001-X),2017,1,KAMPUNG PERAK,"KLUANG, 86200","KLUANG, JOHOR"
J00145,MELUR PODUCTION,JR0069143-W,2016,1,"NO. 167E, JALAN RAHMAT, KAMPUNG KUALA PAYA, 85010 SEGAMAT, JOHOR.","SEGAMAT, 85010","SEGAMAT, JOHOR"
J00146,ALFIAN BINA ENETRPRISE,CA0178133-P,2018,2,"KG AWAT, 85000 SEGAMAT JOHOR","SEGAMAT, 85000","SEGAMAT, JOHOR"
J00147,,,2015,2,"NO 6, JALAN DESA 7/5, TAMAN DESA,","KLUANG, 86000","KLUANG, JOHOR"
J00148,UTAMA MANCO,JM0098033-T,2010,2,"NO 7 JALAN ABDULLAH, KG SRI LAMBAK,","KLUANG, 86000","KLUANG, JOHOR"
J00149,ZURIN JAYA ENTERPRISE,002995705-X,2016,1,"NO 4, KAMPUNG PANCHA JAYA, 86500 BEKOK, JOHOR.","LABIS, 86500","SEGAMAT, JOHOR"
J00150,KEDAI MAKAN M ROSILAH,JM0572948-H,2017,7,BATU 47 1/2 JALAN AIR HITAM,"KLUANG, 86200","KLUANG, JOHOR"
J00151,SOLEHA & MZLAN ENTERPRISE,JM0549613-K,2016,0,JLN PINGGIR JAYA,"KLUANG, 86700","KLUANG, JOHOR"
J00152,,,2014,3,"215,JLN SURAU, KG TENGAH DALAM","KLUANG, 86000","KLUANG, JOHOR"
J00153,MUTIARA UTAMA WORKSHOP,JM0674043,2010,8,LOT 3562 BANDAR BARU IBRAHIM MAJID JALAN BENUT,"SIMPANG RENGGAM, 86200","KLUANG, JOHOR"
J00154,MUTIARA UTAMA WORKSHOP,JM0674043,2010,8,LOT 3562 BANDAR BARU IBRAHIM MAJID JALAN BENUT SIMPANG RENGGAM KLUANG JOHOR.,"SIMPANG RENGGAM, 86200","KLUANG, JOHOR"
J00155,LIYANA HOME BAKERY,JR0060103-X,2016,1,"NO. 60, JALAN PELANGI 8, TAMAN PELANGI 85200, SEGAMAT, JOHOR.","JEMENTAH, 85200","SEGAMAT, JOHOR"
J00156,,,2015,2,"NO. 19, KAMPUNG POGOH 2, 85000 SEGAMAT, JOHOR.","SEGAMAT, 85000","SEGAMAT, JOHOR"
J00157,AZIE IN DA HOUSE,MA0169806-A,2017,2,"NO. 11,JALAN ZAMRUD, TAMAN SERI MERNANTI,","KLUANG , 86000","KLUANG, JOHOR"
J00158,CDA EFFORT ENTERPRISE,JR0098415-X,2018,0,"NO. 141, BATU 12, KAMPUNG SUNGAI SIPUT, 85200 JEMENTAH, SEGAMAT","JEMENTAH, 85200","SEGAMAT, JOHOR"
J00159,BERSATU NOR JAY ENTERPRISE,JM,2017,2,"TL 76, KG PARIT PENGHULU,","SIMPANG RENGGAM, 86200","KLUANG, JOHOR"
J00160,NJ FATIMAH ENTERPRISE,2.02E+11,2008,1,"LOT 17241, KAMPUNG SAWAH BARU, 85300 LABIS, JOHOR","LABIS, 85300","SEGAMAT, JOHOR"
J00161,AINI ATEKANI ENTERPRISE,003108764-X,2017,0,"NO. 105, JALAN MARYANI, KAMPUNG JAWA 85000 SEGAMAT, JOHOR.","SEGAMAT, 85000","SEGAMAT, JOHOR"
J00162,EDA WATY ENTERPRISE,AC005692-H,2016,1,"NO 1 , JALAN SUSUR , BATU ANAM 85000 SEGAMAT","SEGAMAT, 85000","SEGAMAT, JOHOR"
J00163,LYUNIQUE EMPIRE TRADING,JM0927739-D,2019,3,80 KAMPUNG PARIT HAJI HASHIM,"SIMPANG RENGAM, 86200","KLUANG, JOHOR"
J00164,EJ FOOD ENTERPRISE,JM0532911-K,2013,2,"NO.70, KG CHOKRO","SIMPANG RENGGAM , 86200","KLUANG, JOHOR"
J00165,YAMANIS TRADING,JR0101926-T,,,"NO. 7, JALAN AWANG, PEKAN AIR PANAS, 85300 LABIS, JOHOR.","LABIS, 85300","SEGAMAT, JOHOR"
